code,name,subject_category_id,created_at,updated_at,sort_order,deleted_at
1102,战略学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,113,
1103,联合作战学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,114,
1104,军兵种作战学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,115,
1105,军队指挥学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,116,
1106,军队政治工作学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,117,
1107,军事后勤学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,118,
1108,军事装备学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,119,
1109,军事管理学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,120,
1110,军事训练学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,121,
1111,军事智能,11,2026-04-18 00:09:21,2026-04-18 00:09:21,122,
1170,国家安全学,11,2026-04-18 00:09:21,2026-04-18 00:09:21,123,
1201,管理科学与工程,12,2026-04-18 00:09:21,2026-04-18 00:09:21,124,
1202,工商管理学,12,2026-04-18 00:09:21,2026-04-18 00:09:21,125,
1203,农林经济管理,12,2026-04-18 00:09:21,2026-04-18 00:09:21,126,
1204,公共管理学,12,2026-04-18 00:09:21,2026-04-18 00:09:21,127,
1205,信息资源管理,12,2026-04-18 00:09:21,2026-04-18 00:09:21,128,
1301,艺术学,13,2026-04-18 00:09:21,2026-04-18 00:09:21,129,
1370,设计学,13,2026-04-18 00:09:21,2026-04-18 00:09:21,130,
1401,集成电路科学与工程,14,2026-04-18 00:09:21,2026-04-18 00:09:21,131,
1402,国家安全学,14,2026-04-18 00:09:21,2026-04-18 00:09:21,132,
1403,设计学,14,2026-04-18 00:09:21,2026-04-18 00:09:21,133,
1404,遥感科学与技术,14,2026-04-18 00:09:21,2026-04-18 00:09:21,134,
1405,智能科学与技术,14,2026-04-18 00:09:21,2026-04-18 00:09:21,135,
0151,应用伦理,1,2026-04-18 00:09:21,2026-04-18 00:09:21,136,
0251,金融,2,2026-04-18 00:09:21,2026-04-18 00:09:21,137,
0252,应用统计,2,2026-04-18 00:09:21,2026-04-18 00:09:21,138,
0253,税务,2,2026-04-18 00:09:21,2026-04-18 00:09:21,139,
0254,国际商务,2,2026-04-18 00:09:21,2026-04-18 00:09:21,140,
0255,保险,2,2026-04-18 00:09:21,2026-04-18 00:09:21,141,
0256,资产评估,2,2026-04-18 00:09:21,2026-04-18 00:09:21,142,
0258,数字经济,2,2026-04-18 00:09:21,2026-04-18 00:09:21,143,
0351,法律,3,2026-04-18 00:09:21,2026-04-18 00:09:21,144,
0352,社会工作,3,2026-04-18 00:09:21,2026-04-18 00:09:21,145,
0353,警务,3,2026-04-18 00:09:21,2026-04-18 00:09:21,146,
0354,知识产权,3,2026-04-18 00:09:21,2026-04-18 00:09:21,147,
0355,国际事务,3,2026-04-18 00:09:21,2026-04-18 00:09:21,148,
0451,教育,4,2026-04-18 00:09:21,2026-04-18 00:09:21,149,
0452,体育,4,2026-04-18 00:09:21,2026-04-18 00:09:21,150,
0453,国际中文教育,4,2026-04-18 00:09:21,2026-04-18 00:09:21,151,
0454,应用心理,4,2026-04-18 00:09:21,2026-04-18 00:09:21,152,
0551,翻译,5,2026-04-18 00:09:21,2026-04-18 00:09:21,153,
0552,新闻与传播,5,2026-04-18 00:09:21,2026-04-18 00:09:21,154,
0553,出版,5,2026-04-18 00:09:21,2026-04-18 00:09:21,155,
0651,博物馆,6,2026-04-18 00:09:21,2026-04-18 00:09:21,156,
0751,气象,7,2026-04-18 00:09:21,2026-04-18 00:09:21,157,
0851,建筑,8,2026-04-18 00:09:21,2026-04-18 00:09:21,158,
0853,城乡规划,8,2026-04-18 00:09:21,2026-04-18 00:09:21,159,
0854,电子信息,8,2026-04-18 00:09:21,2026-04-18 00:09:21,160,
0855,机械,8,2026-04-18 00:09:21,2026-04-18 00:09:21,161,
0856,材料与化工,8,2026-04-18 00:09:21,2026-04-18 00:09:21,162,
0857,资源与环境,8,2026-04-18 00:09:21,2026-04-18 00:09:21,163,
0858,能源动力,8,2026-04-18 00:09:21,2026-04-18 00:09:21,164,
0859,土木水利,8,2026-04-18 00:09:21,2026-04-18 00:09:21,165,
0860,生物与医药,8,2026-04-18 00:09:21,2026-04-18 00:09:21,166,
0861,交通运输,8,2026-04-18 00:09:21,2026-04-18 00:09:21,167,
0862,风景园林,8,2026-04-18 00:09:21,2026-04-18 00:09:21,168,
0951,农业,9,2026-04-18 00:09:21,2026-04-18 00:09:21,169,
0952,兽医,9,2026-04-18 00:09:21,2026-04-18 00:09:21,170,
0954,林业,9,2026-04-18 00:09:21,2026-04-18 00:09:21,171,
1051,临床医学,10,2026-04-18 00:09:21,2026-04-18 00:09:21,172,
1052,口腔医学,10,2026-04-18 00:09:21,2026-04-18 00:09:21,173,
1053,公共卫生,10,2026-04-18 00:09:21,2026-04-18 00:09:21,174,
1054,护理,10,2026-04-18 00:09:21,2026-04-18 00:09:21,175,
1055,药学,10,2026-04-18 00:09:21,2026-04-18 00:09:21,176,
1056,中药,10,2026-04-18 00:09:21,2026-04-18 00:09:21,177,
1057,中医,10,2026-04-18 00:09:21,2026-04-18 00:09:21,178,
1058,医学技术,10,2026-04-18 00:09:21,2026-04-18 00:09:21,179,
1152,联合作战指挥,11,2026-04-18 00:09:21,2026-04-18 00:09:21,180,
1153,军兵种作战指挥,11,2026-04-18 00:09:21,2026-04-18 00:09:21,181,
1154,作战指挥保障,11,2026-04-18 00:09:21,2026-04-18 00:09:21,182,
1155,战时政治工作,11,2026-04-18 00:09:21,2026-04-18 00:09:21,183,
1156,后勤与装备保障,11,2026-04-18 00:09:21,2026-04-18 00:09:21,184,
1157,军事训练与管理,11,2026-04-18 00:09:21,2026-04-18 00:09:21,185,
1251,工商管理,12,2026-04-18 00:09:21,2026-04-18 00:09:21,186,
1252,公共管理,12,2026-04-18 00:09:21,2026-04-18 00:09:21,187,
1253,会计,12,2026-04-18 00:09:21,2026-04-18 00:09:21,188,
1254,旅游管理,12,2026-04-18 00:09:21,2026-04-18 00:09:21,189,
1255,图书情报,12,2026-04-18 00:09:21,2026-04-18 00:09:21,190,
1256,工程管理,12,2026-04-18 00:09:21,2026-04-18 00:09:21,191,
1257,审计,12,2026-04-18 00:09:21,2026-04-18 00:09:21,192,
1352,音乐,13,2026-04-18 00:09:21,2026-04-18 00:09:21,193,
1353,舞蹈,13,2026-04-18 00:09:21,2026-04-18 00:09:21,194,
1354,戏剧与影视,13,2026-04-18 00:09:21,2026-04-18 00:09:21,195,
1355,戏曲与曲艺,13,2026-04-18 00:09:21,2026-04-18 00:09:21,196,
1356,美术与书法,13,2026-04-18 00:09:21,2026-04-18 00:09:21,197,
1357,设计,13,2026-04-18 00:09:21,2026-04-18 00:09:21,198,
1451,文物,14,2026-04-18 00:09:21,2026-04-18 00:09:21,199,
