name,code,province,city,type,belong,website,level,logo,longitude,latitude,status,created_at,updated_at,deleted_at
南京农业大学,10307,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
北京科技大学,10008,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
浙江理工大学,10338,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
山东中医药大学,10441,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
内蒙古农业大学,10129,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中国音乐学院,10046,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
湖北文理学院,10519,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
东北石油大学,10220,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
江南大学,10295,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
湖北工业大学,10500,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
安徽师范大学,10370,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
桂林理工大学,10596,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
河北科技大学,10082,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
合肥工业大学,10359,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西安交通大学,10698,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
哈尔滨医科大学,10226,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
广西中医药大学,10600,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
四川农业大学,10626,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
皖南医学院,10368,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
浙江大学,10335,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
厦门大学,10384,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
上海工程技术大学,10856,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
中南大学,10533,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
西华大学,10623,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
华北电力大学,10054,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
武汉纺织大学,10495,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
赣南师范大学,10418,,,,其他,,双非,,,,1,2026-04-18 00:09:21,2026-04-18 00:09:21,
